,Market Cap,Income,Sales,Dividend,Dividend %,Employees,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,ROE,ROI,EPS Q/Q,Insider Own,Insider Trans,Inst Own
MMM,97.39B,5.13B,31.35B,5.88,3.44%,96163,9.08,19.38,18.61,5.86,1.91,8.82,9.19,2.27,-14.90%,3.31%,0.90%,49.20%,16.40%,15.50%,0.18%,-4.92%,67.30%
ABT,190.01B,3.08B,31.44B,1.44,1.31%,107000,6.36,63.43,26.22,4.26,0.64,1.73,4.18,0.90,45.20%,14.90%,12.40%,10.10%,8.20%,-46.70%,0.70%,-2.93%,75.40%
ABBV,150.42B,6.91B,36.23B,4.72,5.47%,47000,9.66,18.98,7.11,2.02,5.94,4.55,12.13,2.77,42.30%,9.38%,36.80%,-303.40%,21.20%,-192.90%,0.10%,-5.21%,70.90%
ABMD,12.77B,158.70M,798.10M,-,-,1536,11.70,82.35,54.16,3.43,0.00,3.48,5.29,0.92,-21.00%,24.00%,10.80%,15.10%,17.90%,-49.20%,1.40%,-17.29%,98.00%
ACN,145.54B,5.11B,44.33B,3.52,1.53%,492000,9.14,29.02,25.96,3.05,0.00,7.93,8.86,2.05,11.30%,9.52%,10.30%,32.60%,33.90%,-1.20%,0.10%,-6.84%,77.30%
ATVI,62.02B,1.81B,6.99B,0.41,0.51%,9200,4.54,34.41,24.04,1.41,0.20,2.34,3.35,0.64,-0.30%,24.41%,11.60%,14.00%,9.50%,75.50%,0.70%,-7.87%,90.70%
ADBE,240.41B,3.86B,12.44B,-,-,22634,20.61,63.30,45.04,3.63,0.35,7.94,11.16,2.66,7.80%,17.42%,62.70%,35.40%,20.60%,22.00%,0.10%,-22.51%,87.00%
AMD,97.60B,596.00M,7.65B,-,-,11400,29.49,165.35,49.92,4.62,0.21,0.50,1.67,0.35,-11.00%,35.83%,20.70%,21.50%,12.40%,305.40%,0.60%,-16.89%,73.20%
AAP,10.89B,453.10M,9.62B,1.00,0.65%,39000,2.87,23.86,16.91,2.01,0.00,6.50,9.17,2.58,21.10%,11.90%,0.40%,12.70%,12.30%,58.10%,0.40%,2.36%,-
AES,13.21B,190.00M,9.61B,0.57,2.86%,21000,5.38,70.07,12.89,9.16,8.68,0.28,1.54,0.46,-70.60%,7.65%,-14.20%,6.90%,6.60%,-639.10%,0.37%,68.37%,95.40%
AFL,26.56B,2.93B,21.74B,1.12,3.01%,10977,0.91,9.30,8.25,3.68,0.26,4.00,4.51,1.13,16.70%,2.53%,6.40%,10.30%,10.00%,2.50%,0.10%,-3.57%,61.80%
A,32.47B,691.00M,5.22B,0.72,0.67%,16300,6.62,48.22,29.08,5.13,0.47,2.21,3.67,0.93,26.10%,9.40%,37.50%,14.30%,15.20%,5.50%,0.40%,-12.33%,90.40%
APD,65.38B,1.92B,8.82B,5.36,1.80%,17440,5.66,34.56,30.27,3.34,0.70,8.63,9.85,2.22,2.90%,10.33%,11.30%,16.70%,11.50%,-9.30%,0.25%,0.00%,85.90%
AKAM,17.74B,542.10M,3.04B,-,-,7724,4.61,33.55,20.22,3.33,0.00,3.30,5.48,1.23,63.00%,10.08%,9.50%,14.70%,9.00%,42.40%,0.10%,-30.51%,93.10%
ALK,4.70B,57.00M,6.67B,-,-,24134,1.26,93.91,222.32,-,0.68,0.42,0.18,-2.95,75.50%,-14.81%,6.90%,1.40%,14.00%,-182.30%,0.20%,-3.35%,75.50%
ALB,10.04B,438.30M,3.38B,1.54,1.65%,6000,2.47,22.68,22.14,1.51,0.88,4.12,4.22,0.78,-18.30%,15.00%,14.40%,11.20%,7.60%,-44.60%,0.20%,-49.31%,93.10%
ARE,20.42B,395.70M,1.68B,4.24,2.62%,439,2.14,49.57,59.36,495.75,0.80,3.27,2.73,0.61,-11.50%,0.10%,25.70%,4.50%,2.40%,166.00%,1.20%,-15.29%,-
ALXN,26.75B,846.10M,5.54B,-,-,3082,2.61,33.25,9.92,2.70,0.23,3.73,12.51,2.58,6.90%,12.32%,26.80%,7.70%,16.90%,-337.60%,0.10%,-3.08%,93.90%
ALGN,26.52B,1.70B,2.16B,-,-,14530,9.32,15.64,49.03,1.21,0.00,21.51,6.86,0.58,12.40%,12.91%,25.50%,81.50%,32.00%,-128.20%,0.60%,-23.70%,89.60%
ALLE,9.67B,286.40M,2.73B,1.28,1.22%,11000,14.30,34.30,23.88,-,2.11,3.06,4.40,1.20,-1.30%,-0.80%,17.30%,41.90%,21.10%,-31.30%,0.10%,-5.54%,98.80%
LNT,13.62B,641.90M,3.55B,1.52,2.77%,3597,2.47,20.82,21.26,3.78,1.22,2.64,2.58,0.90,7.50%,5.50%,6.00%,12.10%,6.00%,35.40%,0.18%,0.00%,76.60%
ALL,28.64B,4.33B,43.83B,2.16,2.33%,45780,1.16,6.94,7.88,1.27,0.27,13.34,11.75,1.63,149.80%,5.46%,17.50%,18.40%,16.00%,58.40%,0.20%,-53.67%,79.50%
GOOGL,1059.20B,31.53B,166.03B,-,-,127498,5.16,35.46,27.64,7.37,0.02,44.22,56.71,11.20,12.50%,4.81%,19.90%,15.60%,14.10%,-33.20%,0.14%,0.00%,80.70%
GOOG,1079.82B,-,166.03B,-,-,127498,5.17,34.58,27.87,7.19,-,45.49,56.44,11.09,-10.00%,4.81%,-,-,-,-30.00%,5.75%,0.00%,70.62%
MO,73.78B,-879.00M,25.59B,3.44,8.70%,7300,12.92,-,8.67,-,5.11,-0.46,4.56,1.15,-117.20%,6.10%,-17.70%,-12.70%,-5.00%,-3.20%,0.10%,0.00%,63.70%
AMZN,1672.29B,13.18B,321.78B,-,-,876800,22.19,125.80,73.75,3.49,0.69,26.02,44.38,7.25,15.90%,36.03%,115.10%,20.50%,11.70%,97.40%,10.90%,-1.82%,59.50%
AMCR,17.99B,619.90M,12.47B,0.46,4.00%,47000,3.91,29.64,15.50,5.44,1.35,0.39,0.74,0.15,6.70%,5.45%,-7.00%,12.20%,7.40%,79.90%,0.10%,-9.29%,36.60%
AEE,20.05B,847.00M,5.81B,2.06,2.50%,9323,2.47,24.10,21.89,4.02,1.29,3.42,3.76,1.52,1.10%,6.00%,6.90%,10.40%,6.10%,35.40%,0.30%,0.00%,80.40%
AAL,6.22B,-3469.00M,33.36B,-,-,133000,-,-,-,-,-,-8.17,-4.29,-5.88,25.20%,-,-0.70%,240.80%,10.30%,-424.50%,1.10%,0.00%,56.60%
AEP,44.43B,1.90B,15.17B,2.80,3.06%,17408,2.26,23.83,19.69,4.41,1.59,3.84,4.65,1.46,0.10%,5.40%,3.60%,9.60%,5.30%,12.50%,0.10%,-4.25%,76.40%
